H	从	9.2	cong2	tòng	theo sau	(2 nhân: Người sau đi theo người trước)
H	休	9.4	xiu1	hưu	nghỉ ngơi	(nhân + mộc: Người ta ngồi dựa cây để nghỉ ngơi)
H	囚	31.2	qiu2	tù	tù tội	(vi + nhân: Người tù bị nhốt trong 4 bức tường)
H	夭	37.1	yao3	yểu	chết non	(Hình người có đầu lìa khỏi cổ là chết non)
H	姦	38.6	jian1	gian	xảo trá, không ngay thật	(3 nữ: Quan niệm xưa cho là con gái gặp nhau bàn chuyện xấu)
H	宴	40.7	yan4	yến	tiệc rượu	(miên + nhật + nữ: Dưới mái nhà của ngày người con gái về nhà chồng, thường đãi tiệc)
H	富	40.9	fu4	phú	giàu	(miên + nhất + khẩu + điền: Dưới mái nhà, chỉ có 1 miệng ăn, 1 thửa ruộng thì phải giàu)
H	悶	61.8	men4	muộn	buồn rầu	(tâm + môn: trái tim buồn rầu ngồi tựa cửa đợi chờ)
H	晶	72.8	jing1	tinh	sáng	(3 nhật: Ba mặt trời thì nhất định phải sáng)
H	森	75.8	sen1	sâm	rậm rạp	(3 mộc: đất có 3 cây thì quá rậm rạp)
H	末	75.1	mo4	mạt	cuối cùng, ngọn	(mộc + nhất gạch ngang dài: để đánh dấu đầu ngọn cây)
H	牢	93.3	lao2	lao	nhà ngục	(ngưu + miên: ở trong nhà ngục giống như con bò bị nhốt trong chuồng)
H	盟	108.8	meng2	minh	thề ước	(nhật + nguyệt + mãnh: Nâng chén rượu cùng thề thốt dưới vầng nhật nguyệt)
H	閒	169.4	xian2	nhàn	nhàn hạ	(môn + nguyệt: Còn gì nhàn bằng đêm đêm ngắm ánh trăng xuyên qua cửa)
